Index,Time,SPE,Threshold,outlier_status,io_usage,network_usage,cpu_percent,ram_usage,Container
693,2019-11-28 18:42:13.417000,1986.435190998379,8921.909340156095,0,4456000,25040,0.0,128765132.8,4cc3cf79a2c4
694,2019-11-28 18:42:13.417000,1624.9374750762927,8921.909340156095,0,0,25040,0.0,1257452339.2,abbf5599c150
695,2019-11-28 18:42:13.418000,1055.3355914190192,8921.909340156095,0,71440000,26800,0.0,485364858.88,1cb4575d17f4
696,2019-11-28 18:42:13.418000,2575.868880242002,8921.909340156095,0,1016000000,38320,0.85,428154552.32,2eeb54d55f3b
697,2019-11-28 18:42:13.418000,1905.244914624118,8921.909340156095,0,5176000,25040,0.0,471523655.68,7437635703d2
698,2019-11-28 18:42:13.418000,1213.3028249908104,8921.909340156095,0,4064000,25600,0.0,910163968.0,01f13e58f338
699,2019-11-28 18:42:13.418000,393.94074640486116,8921.909340156095,0,4392000,25040,0.0,9079560863.744,6ffd41e1fbc1
700,2019-11-28 18:42:13.418000,1305.374649463613,8921.909340156095,0,0,25040,0.0,2459539865.6,f06963f3ad95
701,2019-11-28 18:42:13.418000,23191.13409667118,8921.909340156095,0,259200000,53680,9.78,318515445.76,bca9d260c15b
702,2019-11-28 18:42:13.917000,3598.865617539453,8921.909340156095,0,96000000,24640,9.57,316669952.0,6a5af19b5b83
703,2019-11-28 18:42:13.917000,3973.049795593962,8921.909340156095,0,188000000,25520,0.01,371112017.92,5d2823fff256
704,2019-11-28 18:42:13.917000,1860.8002763435165,8921.909340156095,0,424000000,34640,0.04,251658240.0,2a92371640c3
705,2019-11-28 18:42:13.917000,134.9331356046352,8921.909340156095,0,4000000,25040,0.0,7069918822.4,1d1a77a500f9
706,2019-11-28 18:42:13.917000,1986.435190998379,8921.909340156095,0,4456000,25040,0.0,128765132.8,4cc3cf79a2c4
707,2019-11-28 18:42:13.917000,1624.9374750762927,8921.909340156095,0,0,25040,0.0,1257452339.2,abbf5599c150
708,2019-11-28 18:42:13.918000,1055.3355914190192,8921.909340156095,0,71440000,26800,0.0,485364858.88,1cb4575d17f4
709,2019-11-28 18:42:13.919000,2575.868880242002,8921.909340156095,0,1016000000,38320,0.85,428154552.32,2eeb54d55f3b
710,2019-11-28 18:42:13.920000,1905.244914624118,8921.909340156095,0,5176000,25040,0.0,471523655.68,7437635703d2
711,2019-11-28 18:42:13.920000,1213.3028249908104,8921.909340156095,0,4064000,25600,0.0,910163968.0,01f13e58f338
712,2019-11-28 18:42:13.920000,393.94074640486116,8921.909340156095,0,4392000,25040,0.0,9079560863.744,6ffd41e1fbc1
713,2019-11-28 18:42:13.920000,1305.374649463613,8921.909340156095,0,0,25040,0.0,2459539865.6,f06963f3ad95
714,2019-11-28 18:42:13.920000,23191.13409667118,8921.909340156095,0,259200000,53680,9.78,318515445.76,bca9d260c15b
715,2019-11-28 18:42:14.417000,3598.865617539453,8921.909340156095,0,96000000,24640,9.57,316669952.0,6a5af19b5b83
716,2019-11-28 18:42:14.417000,3973.049795593962,8921.909340156095,0,188000000,25520,0.01,371112017.92,5d2823fff256
717,2019-11-28 18:42:14.417000,1860.8002763435165,8921.909340156095,0,424000000,34640,0.04,251658240.0,2a92371640c3
718,2019-11-28 18:42:14.417000,425.099765178535,8921.909340156095,0,4000000,25600,0.0,7069918822.4,1d1a77a500f9
719,2019-11-28 18:42:14.417000,1986.435190998379,8921.909340156095,0,4456000,25040,0.0,128765132.8,4cc3cf79a2c4
720,2019-11-28 18:42:14.417000,1064.9379360478445,8921.909340156095,0,0,25600,0.0,1257452339.2,abbf5599c150
721,2019-11-28 18:42:14.418000,1055.3355914190192,8921.909340156095,0,71440000,26800,0.0,485364858.88,1cb4575d17f4
722,2019-11-28 18:42:14.418000,2575.868880242002,8921.909340156095,0,1016000000,38320,0.85,428154552.32,2eeb54d55f3b
723,2019-11-28 18:42:14.418000,1905.244914624118,8921.909340156095,0,5176000,25040,0.0,471523655.68,7437635703d2
724,2019-11-28 18:42:14.418000,1213.3028249908104,8921.909340156095,0,4064000,25600,0.0,910163968.0,01f13e58f338
